Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,147.51,102.54,126.71,148.59,162.07,68.82
2,Switzerland,125.02,54.92,92.59,129.17,122.92,102.77
3,Norway,103.56,36.91,72.72,99.51,106.72,73.55
4,Iceland,99.67,46.62,75.12,93.51,106.16,67.3
5,Barbados,94.44,22.53,61.17,89.23,78.91,30.74
6,Jersey,94.43,64.03,80.36,78.51,96.55,77.12
7,Denmark,88.53,34.51,63.53,71.55,104.06,86.43
8,Luxembourg,85.3,64.19,75.53,79.55,93.53,87.76
9,Israel,84.77,32.6,60.63,73.31,91.74,65.91
10,Bahamas,84.32,35.03,61.51,70.63,83.61,46.07
11,Singapore,82.63,64.98,74.46,74.28,59.02,78.53
12,Japan,81.15,28.05,56.58,84.48,48.67,76.01
13,Hong Kong,80.82,77.56,79.31,84.83,59.5,56.86
14,Australia,80.75,38.67,61.28,78.96,74.73,91.07
15,Netherlands,78.93,38.24,60.1,67.45,80.31,76.65
16,Ireland,78.55,45.34,63.18,64.98,80.96,71.58
17,France,77.59,27.07,54.22,75.99,75.39,76.36
18,South Korea,76.46,23.25,51.84,94.49,43.14,69.44
19,Finland,76.35,27.81,53.89,66.4,81.93,80.11
20,New Zealand,76.31,35.79,57.56,72.34,73.25,74.89
21,Sweden,75.89,27.61,53.55,69.68,75.31,85.44
22,Belgium,75.79,27.28,53.35,65.22,82.5,70.12
23,Austria,74.87,29.38,53.82,68.83,70.9,68.69
24,Seychelles,74.07,34.49,55.76,72.97,82.84,16.86
25,Malta,72.92,33.06,54.47,63.96,76.19,36.73
26,Canada,71.45,35.06,54.62,70.15,69.51,78.34
27,United Kingdom,70.64,33.03,53.24,57.34,76.16,77.47
28,United States,70.55,42.56,57.6,69.87,70.79,94.32
29,Italy,69.99,22.12,47.84,60.7,74,54.3
30,Lebanon,69.32,26.4,49.46,64.23,57.2,32.48
31,Macao,68.16,46.31,58.05,66.18,51.71,62.15
32,Germany,67.85,29.61,50.16,53.33,64,89.86
33,Puerto Rico,67.84,20.4,45.89,70.31,58.23,61.16
34,Taiwan,64.93,17.86,43.15,80.52,29.27,51.09
35,Qatar,61.93,48.95,55.93,54.25,61.93,84.85
36,Cyprus,61.64,22.99,43.76,51.29,63.25,49.36
37,Maldives,61.03,32.1,47.65,62.38,33.62,23.61
38,United Arab Emirates,58.94,39.21,49.81,47.43,59.57,84.93
39,Greece,58.38,13.3,37.52,46.17,54.53,35.95
40,Bahrain,57.16,30.23,44.7,45.96,51.99,52.68
41,Palestine,56.92,10.68,35.52,50.3,41.79,35.98
42,Spain,56.64,23.19,41.16,47.36,56.63,58.5
43,Slovenia,56.4,18.7,38.96,49.16,46.99,52.08
44,Cuba,55.46,16.22,37.31,47.74,35.24,1.28
45,Croatia,55.18,14.5,36.36,48.44,46.86,39.83
46,Trinidad And Tobago,54.78,16.96,37.28,53.37,53.78,34.85
47,Estonia,53.77,15.89,36.24,42.3,53.02,56.58
48,Libya,53.59,13.95,35.25,61.02,36.28,27.83
49,Panama,53.03,23.24,39.25,53.22,45.57,28.91
50,Jamaica,51.75,17.42,35.87,54.27,34.69,28.01
51,Senegal,51.54,22.22,37.97,44.63,37.88,21.87
52,Yemen,51.41,6.77,30.75,63.48,23.46,12.81
53,Ivory Coast,50.95,22.05,37.58,43.21,33.81,5.65
54,Jordan,50.91,9.97,31.97,41.91,42.02,27.95
55,Belize,50.91,11.65,32.74,47.64,36.47,42.38
56,Portugal,50.65,21.97,37.38,40.87,42.54,40.54
57,Uruguay,50.55,14.15,33.7,41.8,48.43,27.43
58,Latvia,50.41,12.9,33.06,39.48,45.62,43.49
59,Suriname,50.05,10.09,31.56,48.44,62.23,14.55
60,Guyana,49.7,8.82,30.78,52.37,44.43,15.87
61,Oman,49.64,17.86,34.93,46.9,43.04,74.87
62,Saudi Arabia,49.6,12.51,32.44,41.94,33.84,80.11
63,Kuwait,49.14,32.78,41.57,36.21,48.15,70.51
64,Ethiopia,48.89,16.36,33.84,36.01,18.2,9.03
65,Chile,48.6,15.01,33.06,41.64,47.86,29.43
66,Costa Rica,48.53,15.66,33.32,46.35,42.77,34.7
67,Czech Republic,48.2,18.79,34.59,42.57,35.41,54.8
68,Cambodia,47.44,15.13,32.49,48.28,23.12,10.16
69,Zimbabwe,47.35,9.47,29.82,40.57,37.47,17.01
70,Slovakia,47.32,17.51,33.53,41.92,37.8,45.65
71,Mauritius,47.13,12.05,30.9,49.5,34.7,24.57
72,Lithuania,46.04,14.75,31.56,35.98,45.37,52.8
73,Venezuela,45.96,10.89,29.73,37.69,48.14,13.39
74,Fiji,44.93,17.9,32.42,49.74,38.02,29.4
75,Thailand,44.76,15.27,31.11,45.99,23.47,28.87
76,Guatemala,44.39,16.19,31.34,42.39,33.34,22.17
77,South Africa,44.21,18.25,32.19,37.08,39.95,69.15
78,El Salvador,44.01,14.12,30.18,42.68,36.14,19.21
79,Hungary,42.26,12.79,28.62,35.8,34.48,47.41
80,Nicaragua,41.81,8.68,26.48,40.68,29.92,15.2
81,Dominican Republic,41.79,10.15,27.15,37.66,34.55,18.8
82,Poland,41.75,19.39,31.4,34.11,35.1,43.61
83,Botswana,41.7,10.73,27.37,35.71,46.73,48.96
84,China,41.31,16.67,29.91,45.2,27.47,53.62
85,Honduras,41.29,10.71,27.14,35.34,29.13,28.72
86,Cameroon,40.85,7.65,25.49,41.51,24.26,14.07
87,Iran,40.64,16.73,29.58,35.06,24.37,16.82
88,Montenegro,39.81,12.02,26.95,31.81,32.37,33.1
89,Philippines,39.11,10.41,25.83,38.41,21.72,18
90,Ecuador,38.79,12.07,26.42,36.03,28.66,27.1
91,Bulgaria,38.67,9.56,25.2,34.25,30.59,39.49
92,Ghana,38.53,21.08,30.46,38.73,31.85,16.85
93,Albania,37.73,8.6,24.25,30.88,28.08,25.59
94,Serbia,37.62,9.75,24.73,28.83,30.62,34.16
95,Malaysia,37.52,10.44,24.99,39.02,21.25,50.11
96,Bosnia And Herzegovina,36.95,7.32,23.24,31.17,25.48,38.94
97,Vietnam,36.94,13.94,26.29,37.87,19.18,25.29
98,Romania,36.77,10.91,24.8,32.45,31.54,41.89
99,Russia,36.76,15.3,26.83,30.79,37.17,35.53
100,Mexico,36.74,14.45,26.43,35.04,33.72,31.3
101,Brazil,36.06,9.24,23.65,30.08,27.7,25.13
102,Myanmar,36.04,20.41,28.8,37.24,19.76,12.73
103,Iraq,36.02,11.33,24.59,31.56,29.08,35.9
104,Indonesia,35.95,9.94,23.91,38.01,17.7,19.01
105,Kenya,35.82,10,23.87,32.77,30.37,25.37
106,Morocco,35.58,9.87,23.68,32.13,25.69,29.77
107,Argentina,35.33,8.31,22.83,28.34,34.18,27.68
108,Bolivia,35.15,11.28,24.1,31.23,25.42,33.39
109,Somalia,34.5,5.8,21.22,39.28,26.91,26.16
110,Mongolia,33.73,10.07,22.78,35.16,22.96,24.34
111,Rwanda,33.57,15.77,25.34,28.59,29.37,22.78
112,Tanzania,33.48,13.43,24.2,30.16,25.33,14.97
113,Armenia,33.22,11.61,23.22,26.52,29.65,24.23
114,Peru,33.01,11.27,22.95,31.12,21.77,26.13
115,Bangladesh,33.01,4.76,19.94,30.77,21.22,21.76
116,Zambia,32.94,8.5,21.63,30.85,21.95,41.19
117,Uganda,32.8,8.08,21.36,29.92,24.08,11.56
118,North Macedonia,32.76,6.69,20.7,27.64,22.01,29.92
119,Turkey,31.74,7.42,20.49,26.96,22.41,31.27
120,Belarus,31.58,10.21,21.69,27.12,32.46,29.87
121,Ukraine,31.2,11.57,22.12,26.5,25.35,30.28
122,Moldova,30.72,8.93,20.64,24.48,27.29,29.44
123,Paraguay,30.72,10.68,21.45,24.92,24.87,24.14
124,Sri Lanka,30.41,8.4,20.23,35.83,16.06,18.43
125,Azerbaijan,30.04,8.85,20.23,25.9,28.71,23.1
126,Nigeria,29.63,33.87,31.59,32.45,18.78,8.79
127,Kazakhstan,29.58,9.63,20.35,25.71,27.64,31.62
128,Egypt,29.14,5.98,18.43,26.26,23.84,18.54
129,Tunisia,28.77,5.82,18.15,28.05,16.85,25.42
130,Georgia,28.58,9.64,19.81,25.19,24.83,25.16
131,Colombia,28.12,8.61,19.09,24.1,20.37,25.34
132,Syria,28.05,5.96,17.83,27.75,23.4,6.84
133,Nepal,27.86,4.4,17.01,25.96,19.91,20
134,Algeria,27.84,5.14,17.34,28.93,14.95,22.49
135,Kosovo (Disputed Territory),27.83,8.76,19,25.29,20.92,39.05
136,Afghanistan,27.64,3.64,16.54,19.02,16.34,20.53
137,Uzbekistan,27.1,9.64,19.02,27.06,21.87,19.48
138,India,24.6,5.67,15.84,26.08,18.14,42.16
139,Pakistan,21.88,4.57,13.87,19.71,16.89,24.56
